;;tot planes;tot seats;tot F;tot J;tot Y+;tot Y;Bombardier CRJ-200;Bombardier CRJ-700;Bombardier CRJ-900;Airbus A319-100;Airbus A320-200;Airbus A321-200;Airbus A321neo;Boeing 737-800;Boeing 737 MAX 8;Boeing 777-200ER;Boeing 777-300ER;Boeing 787-8;Boeing 787-9;Boeing 737-700;Boeing 737-900;Boeing 737-900ER;Boeing 737 MAX 9;Embraer E-190;Airbus A220-300;Airbus A321LR;Airbus A220-100;Airbus A330-200;Airbus A330-300;Airbus A330-900neo;Airbus A350-900;Boeing 717-200;Boeing 757-200;Boeing 757-300;Boeing 767-300ER;Boeing 767-400ER;Airbus A320neo;Bombardier CRJ700;Embraer ERJ 140;Embraer ERJ 145;Bombardier CRJ900;Bombardier CRJ200;Embraer 175SC;Boeing 777-200;Boeing 787-10;Boeing 737 MAX 7;Embraer 170;Embraer 175;Bombardier Dash 8-Q400;;;Endevour;American Airlines Inc.;Alaska Airlines Inc.;JetBlue Airways;Delta Air Lines Inc.;Frontier Airlines Inc.;Allegiant Air;Hawaiian Airlines Inc.;Envoy Air;Spirit Air Lines;PSA Airlines Inc.;SkyWest Airlines Inc.;United Air Lines Inc.;Southwest Airlines Co.;Republic Airline;Horizon Air;Mesa Airlines Inc.
Endevour;;166;11007;1593;0;2788;6626;30;13;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Airlines Inc.;;934;166991;160;16107;3140;147584;0;0;0;133;48;218;68;303;42;47;20;33;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alaska Airlines Inc.;;210;38092;3590;0;0;34502;0;0;0;0;0;0;10;61;0;0;0;0;0;11;12;79;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JetBlue Airways;;285;40480;0;1464;10084;28932;0;0;0;0;130;63;18;0;0;0;0;0;0;0;0;0;0;55;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Delta Air Lines Inc.;;917;167979;18056;3206;24443;122274;0;0;0;57;61;127;23;77;0;0;0;0;0;0;0;163;0;0;15;0;45;11;31;20;28;66;111;16;45;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Frontier Airlines Inc.;;115;22296;0;0;0;0;0;0;0;0;12;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Allegiant Air;;105;17787;0;0;0;0;0;0;0;38;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Hawaiian Airlines Inc.;;61;12506;0;0;872;11634;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Envoy Air;;227;11696;225;0;0;11246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;59;118;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Spirit Air Lines;;36;5632;0;0;0;0;0;0;0;26;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
PSA Airlines Inc.;;107;7714;1170;0;2512;4032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;69;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
SkyWest Airlines Inc.;;229;15353;2115;0;4112;9126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;41;22;62;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
United Air Lines Inc.;;836;157527;440;19430;1741;135916;0;0;0;81;99;0;0;141;0;55;22;12;38;40;12;136;48;0;0;0;0;0;0;0;0;0;40;21;37;16;0;0;0;0;0;0;0;19;19;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Southwest Airlines Co.;;773;121515;0;0;0;121515;0;0;0;0;0;0;0;207;136;0;0;0;0;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Republic Airline;;142;10428;1452;0;2624;4528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;88;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Horizon Air;;62;4712;264;0;264;4184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;40;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Mesa Airlines Inc.;;144;10464;0;1536;0;8928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;80;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
